SA22021_V1_00,SA22021_V1_00_NAME,SA22021_V1_00_NAME_ASCII,REGC2021_V1_00,REGC2021_V1_00_NAME,REGC2021_V1_00_NAME_ASCII,TA2021_V1_00,TA2021_V1_00_NAME,TA2021_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length
100100,North Cape,North Cape,1,Northland Region,Northland Region,1,Far North District,Far North District,829.2217023,829.2217023,416017.93358
100200,Rangaunu Harbour,Rangaunu Harbour,1,Northland Region,Northland Region,1,Far North District,Far North District,273.99080761,273.99080761,149186.462864
100300,Inlets Far North District,Inlets Far North District,1,Northland Region,Northland Region,1,Far North District,Far North District,0.0,623.44243871,1349859.40302
100400,Karikari Peninsula,Karikari Peninsula,1,Northland Region,Northland Region,1,Far North District,Far North District,174.44138845,174.44138845,140149.693742
100500,Tangonge,Tangonge,1,Northland Region,Northland Region,1,Far North District,Far North District,177.10511986,177.10511986,101330.211202
102400,Rangitane-Purerua,Rangitane-Purerua,1,Northland Region,Northland Region,1,Far North District,Far North District,123.14739689,123.14739689,169004.053029
102500,Waipapa,Waipapa,1,Northland Region,Northland Region,1,Far North District,Far North District,9.16016257,9.16016257,24124.1728516
102600,Puketotara,Puketotara,1,Northland Region,Northland Region,1,Far North District,Far North District,55.26390522,55.26390522,59201.3748435
102700,Waimā Forest,Waima Forest,1,Northland Region,Northland Region,1,Far North District,Far North District,237.0018931,237.0018931,96026.1834204
102800,Riverview,Riverview,1,Northland Region,Northland Region,1,Far North District,Far North District,6.21892733,6.21892733,20639.8864343
102900,Waipoua Forest,Waipoua Forest,1,Northland Region,Northland Region,1,Far North District,Far North District,277.85114674,277.85114674,105048.878352
103300,Puketona-Waitangi,Puketona-Waitangi,1,Northland Region,Northland Region,1,Far North District,Far North District,156.40309462,156.40309462,145448.821112
103800,Russell,Russell,1,Northland Region,Northland Region,1,Far North District,Far North District,3.27986223,3.27986223,12456.8866194
104000,Mataraua Forest,Mataraua Forest,1,Northland Region,Northland Region,1,Far North District,Far North District,272.92032361,272.92032361,101495.896818
104100,Matawaia-Taumarere,Matawaia-Taumarere,1,Northland Region,Northland Region,1,Far North District,Far North District,410.62176921,410.62176921,175262.784522
104200,Russell Peninsula,Russell Peninsula,1,Northland Region,Northland Region,1,Far North District,Far North District,26.1878672,26.1878672,76034.342204
104300,Opua (Far North District),Opua (Far North District),1,Northland Region,Northland Region,1,Far North District,Far North District,5.60752911,5.60752911,19773.7433626
104700,Maromaku,Maromaku,1,Northland Region,Northland Region,1,Far North District,Far North District,238.33748881,238.33748881,91915.1985332
104800,Mangakahia-Hūkerenui,Mangakahia-Hukerenui,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,659.18273509,659.18273509,189557.810274
104900,Whangaruru,Whangaruru,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,469.33978745,469.33978745,293147.836953
105000,Inlets other Whangarei District,Inlets other Whangarei District,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,0.0,39.01332359,201362.087276
105100,Matarau,Matarau,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,107.82835338,107.82835338,79801.687243
105300,Kauri,Kauri,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,56.00890271,56.00890271,56382.6421463
105400,Maungatapere,Maungatapere,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,174.48086082,174.48086082,93325.595319
105600,Matapouri-Tutukaka,Matapouri-Tutukaka,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,78.52291675,78.52291675,86866.9411136
105700,Kiripaka,Kiripaka,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,72.04773874,72.04773874,75963.8101173
106000,Kamo Central,Kamo Central,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,1.09354447,1.09354447,5205.09244207
106700,Abbey Caves-Glenbervie,Abbey Caves-Glenbervie,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,32.11045824,32.11045824,39070.4600898
107700,Otaika-Portland,Otaika-Portland,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,41.50854401,41.50854401,60203.713446
107800,Oakleigh-Mangapai,Oakleigh-Mangapai,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,323.77362458,323.77362458,144720.897742
106800,Mairtown,Mairtown,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,0.9434443,0.9434443,4981.2214243
107000,Woodhill-Vinetown,Woodhill-Vinetown,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,1.38514283,1.38514283,8041.91397398
107400,Tarewa,Tarewa,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,0.94167143,0.94167143,4811.07607783
107600,Ngunguru,Ngunguru,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,3.56692955,3.56692955,17783.0449296
108000,Pataua,Pataua,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,128.67725326,128.67725326,129218.534598
108400,Inlet Whangārei Harbour,Inlet Whangarei Harbour,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,0.0,102.99193003,165764.077087
108500,Parua Bay,Parua Bay,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,39.15914154,39.15914154,55697.8412862
108600,Bream Bay,Bream Bay,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,238.69445824,238.69445824,138978.567888
108900,Bream Head,Bream Head,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,52.17926351,52.17926351,81358.1151618
109002,Waipū Rural,Waipu Rural,1,Northland Region,Northland Region,2,Whangarei District,Whangarei District,133.70337168,133.70337168,86348.4420983
109800,Mangawhai Rural,Mangawhai Rural,1,Northland Region,Northland Region,3,Kaipara District,Kaipara District,91.45511262,91.45511262,89266.4045239
109900,Mangawhai Heads,Mangawhai Heads,1,Northland Region,Northland Region,3,Kaipara District,Kaipara District,6.98908686,6.98908686,14770.1230696
110000,Inlet Mangawhai Harbour,Inlet Mangawhai Harbour,1,Northland Region,Northland Region,3,Kaipara District,Kaipara District,0.0,5.58044159,31347.5171645
110200,Okahukura Peninsula,Okahukura Peninsula,2,Auckland Region,Auckland Region,76,Auckland,Auckland,211.17145146,211.17145146,202849.722879
110300,Inlet Kaipara Harbour South,Inlet Kaipara Harbour South,2,Auckland Region,Auckland Region,76,Auckland,Auckland,0.0,391.72779153,471866.998763
110400,Cape Rodney,Cape Rodney,2,Auckland Region,Auckland Region,76,Auckland,Auckland,370.68110984,370.68110984,163226.491031
111900,Algies Bay-Scotts Landing,Algies Bay-Scotts Landing,2,Auckland Region,Auckland Region,76,Auckland,Auckland,15.37174828,15.37174828,45019.330137
